Name,Scholar ID,Affiliation,Total Citations,H-index,I10-index,Research Interests,Scholar URL
Jennifer Horney,9C6C77wAAAAJ,"Professor, Epidemiology, University of Delaware",4435,33,94,"community assessment, disaster epidemiology, recovery, resilience",https://scholar.google.com/citations?user=9C6C77wAAAAJ
Arthi Jayaraman,FST4YmwAAAAJ,University of Delaware,4929,38,98,"Molecular Simulations, Machine Learning, Scattering, Polymers, Soft Materials",https://scholar.google.com/citations?user=FST4YmwAAAAJ
Allison Karpyn,t39OafcAAAAJ,University of Delaware,8047,30,56,"Food & Nutrition, Education, Environmental Health, Social Policy",https://scholar.google.com/citations?user=t39OafcAAAAJ
Henry May,ZLn9cAEAAAAJ,"CRESP Director & Associate Professor of Education, University of Delaware",9455,34,58,"Education, Research Methods, Evaluation",https://scholar.google.com/citations?user=ZLn9cAEAAAAJ
Thomas M. Powers,HMWsNJ4AAAAJ,University of Delaware,943,12,13,"ethics in science, technology, and engineering",https://scholar.google.com/citations?user=HMWsNJ4AAAAJ
Rodrigo Vargas,-w4y28gAAAAJ,"Professor, University of Delaware",20826,64,148,"climate change, carbon cycle, ecosystem ecology, biogeochemistry",https://scholar.google.com/citations?user=-w4y28gAAAAJ
Cathy Wu,eiRdbhsAAAAJ,University of Delaware,77014,80,239,"bioinformatics, computational biology, proteomics",https://scholar.google.com/citations?user=eiRdbhsAAAAJ
"Roghayeh Leila Barmaki, PhD",vS0MhokAAAAJ,University of Delaware,817,14,19,"Multimodal Computing, Immersion Analytics, Human-Computer Interaction, Learning Technologies",https://scholar.google.com/citations?user=vS0MhokAAAAJ
Rahmatollah Beheshti,hi0U4RwAAAAJ,"Assistant Professor, University of Delaware",629,14,20,"Machine Learning, Health AI, Electronic Health Records, Obesity",https://scholar.google.com/citations?user=hi0U4RwAAAAJ
federica bianco,sVtf1mgAAAAJ,University of Delaware,13402,47,87,"Astrophysics, Urban Science",https://scholar.google.com/citations?user=sVtf1mgAAAAJ
Austin J. Brockmeier,g_QoCQQAAAAJ,University of Delaware,851,15,22,"data science, machine learning, machine learning for neuroscience, information theoretic learning",https://scholar.google.com/citations?user=g_QoCQQAAAAJ
Kyle F. Davis,Izxxqq0AAAAJ,"Department of Geography and Spatial Sciences, University of Delaware",7640,43,59,"Agriculture and nutrition, Sustainability, Food systems, Large-scale land acquisitions, Human migration",https://scholar.google.com/citations?user=Izxxqq0AAAAJ
Gregory Dobler,WRTzLdgAAAAJ,University of Delaware,4987,29,43,,https://scholar.google.com/citations?user=WRTzLdgAAAAJ
David Hong,eCpkx4cAAAAJ,"Assistant Professor, Department of Electrical and Computer Engineering, University of Delaware",634,13,13,"Statistical Signal Processing, Big Data, Algorithms",https://scholar.google.com/citations?user=eCpkx4cAAAAJ
Ethan M. McCormick,hiua2E8AAAAJ,"Assistant Professor, University of Delaware",1111,20,34,"Longitudinal Models, Time Series, Quantitative Methods, Open Science",https://scholar.google.com/citations?user=hiua2E8AAAAJ
Pinki Mondal,PnouwuQAAAAJ,University of Delaware,1735,20,28,"Agriculture, Climate change, Land-use land-cover change, Remote sensing, GIS",https://scholar.google.com/citations?user=PnouwuQAAAAJ
Xi Peng,DWw4v0kAAAAJ,"Assistant Professor, Computer Science, University of Delaware",5028,31,48,"Machine Learning, Computer Vision, AI for Science, Safe Learning System",https://scholar.google.com/citations?user=DWw4v0kAAAAJ
Cencheng Shen,DgDtRzMAAAAJ,University of Delaware,575,14,15,"Machine Learning, Correlation and Dependence",https://scholar.google.com/citations?user=DgDtRzMAAAAJ
Sanford R. Student,SCEvx0IAAAAJ,"Assistant Professor, University of Delaware",11,2,0,"Psychometrics, Quantitative methods",https://scholar.google.com/citations?user=SCEvx0IAAAAJ
Peng Zhao,eZD-yZUAAAAJ,University of Delaware,91,4,2,"Statistics, Bayesian Statistics, Statistical Learning",https://scholar.google.com/citations?user=eZD-yZUAAAAJ
Gonzalo R. Arce,1JyQMewAAAAJ,"Charles B. Evans Professor, JP Morgan-Chase Faculty Fellow, University of Delaware",19425,71,284,"Computational imaging, data science, machine learning, signal processing",https://scholar.google.com/citations?user=1JyQMewAAAAJ
Cecilia Arighi,NUIAfUwAAAAJ,University of Delaware,39195,43,82,"Bioinformatics, Biology, Text mining, Biocuration",https://scholar.google.com/citations?user=NUIAfUwAAAAJ
Yin Bao,lZnlIDQAAAAJ,University of Delaware,792,13,18,"High-Throughput Phenotyping, Precision Agriculture and Forestry, Computer Vision, Deep Learning",https://scholar.google.com/citations?user=lZnlIDQAAAAJ
Christina Areizaga Barbieri,yXu1cwIAAAAJ,University of Delaware,1070,17,17,"mathematical cognition, algebra learning, fraction knowledge, mathematical misconceptions, sense of belonging",https://scholar.google.com/citations?user=yXu1cwIAAAAJ
Kenneth E. Barner,-CPsGakAAAAJ,"Charles B Evans Professor, Electrical and Computer Engineering, University of Delaware",8862,48,148,"Machine and deep learning, robust and nonlinear signal and image processing, compressive sensing, image and video processing",https://scholar.google.com/citations?user=-CPsGakAAAAJ
Emily Battaglia,o9VbmhgAAAAJ,"Assistant Professor, University of Delaware",29,4,1,,https://scholar.google.com/citations?user=o9VbmhgAAAAJ
